User ID,Age,Gender,Country,Device,Subscription Tier,User Segment,Tenure (Months),Onboarding Completed,Session Freq (per week),Feature Adoption Count,Support Tickets,Errors Encountered,Task Completion (%),Avg Time on Task (sec),Days Since Last Login,NPS Score (0–10),NPS Category,Sentiment Label,SUS Q1 (I think I would like to use this product frequently),SUS Q2 (I found the product unnecessarily complex),SUS Q3 (I thought the product was easy to use),SUS Q4 (I think I would need support to use this product),SUS Q5 (I found the various functions well integrated),SUS Q6 (I thought there was too much inconsistency),SUS Q7 (Most people would learn to use this product quickly),SUS Q8 (I found the product very cumbersome to use),SUS Q9 (I felt very confident using the product),SUS Q10 (I needed to learn a lot before using this product),SUS Score (0–100),SUS Grade,UMUX-Lite Q1 – Capability (1–7),UMUX-Lite Q2 – Ease (1–7),UMUX-Lite Score (0–100),CSAT (1–5),"Churn Risk (0=No, 1=Yes)",Renewal Intent
U0011,29,Female,UK,Desktop,Basic,Returning,8,No,7.4,8,0,1,69.7,222,16,10,Promoter,Positive,5,1,5,2,2,2,4,3,4,2,75.0,B,3,6,58.3,4,1,Unsure
U0012,29,Female,France,Desktop,Pro,Returning,8,Yes,10.2,12,1,1,59.5,239,60,10,Promoter,Positive,4,2,3,4,4,2,4,1,3,3,65.0,C,5,5,66.7,4,0,Unsure
U0013,36,Male,UK,Desktop,Pro,Power User,13,No,10.0,14,0,0,70.1,196,38,1,Detractor,Negative,4,2,3,3,5,1,4,2,4,4,70.0,B,4,7,75.0,4,0,Unsure
U0014,18,Female,USA,Desktop,Pro,Power User,30,Yes,8.4,19,1,1,65.3,208,6,10,Promoter,Positive,4,2,3,3,3,1,4,1,5,2,75.0,B,6,7,91.7,4,1,Unsure
U0015,18,Male,Germany,Mobile,Free,Returning,8,No,5.3,10,7,2,57.9,196,4,7,Passive,Neutral,4,2,3,3,4,2,4,4,4,2,65.0,C,3,1,16.7,3,1,Unlikely
U0016,28,Female,Netherlands,Mobile,Enterprise,Returning,13,Yes,4.3,16,0,1,75.4,274,6,9,Promoter,Positive,3,1,4,4,4,3,4,3,4,2,65.0,C,5,2,41.7,4,0,Unsure
U0017,24,Female,USA,Mobile,Free,Power User,20,Yes,8.8,11,1,1,63.8,139,0,7,Passive,Neutral,4,1,4,4,5,3,5,2,4,2,75.0,B,4,5,58.3,4,0,Unsure
U0018,37,Female,India,Desktop,Pro,Power User,6,Yes,11.8,13,1,1,100.0,126,0,4,Detractor,Negative,3,3,5,2,3,2,4,2,4,2,70.0,B,7,6,91.7,4,1,Unsure
U0019,25,Male,Brazil,Desktop,Enterprise,Returning,6,Yes,8.0,9,1,5,63.1,226,7,9,Promoter,Positive,4,2,4,2,3,2,3,1,4,2,72.5,B,5,5,66.7,4,1,Unsure
U0020,20,Female,UK,Mobile,Free,Returning,49,No,12.0,11,1,0,100.0,300,40,10,Promoter,Positive,4,1,4,4,4,1,4,2,3,3,70.0,B,3,5,50.0,3,0,Unsure
U0021,49,Female,USA,Desktop,Pro,Returning,23,Yes,3.4,15,0,1,98.9,181,28,1,Detractor,Negative,4,2,4,2,4,3,4,2,4,2,72.5,B,5,4,58.3,5,0,Likely
U0022,32,Female,USA,Desktop,Free,Power User,15,Yes,3.4,12,1,0,86.4,268,13,9,Promoter,Positive,4,3,4,2,5,3,2,3,4,2,65.0,C,2,3,25.0,3,1,Unsure
U0023,35,Male,USA,Mobile,Basic,New,19,Yes,8.4,14,1,0,64.1,291,16,3,Detractor,Negative,4,2,4,2,3,2,4,3,4,3,67.5,C,4,3,41.7,4,0,Unsure
U0024,20,Male,USA,Mobile,Basic,Returning,1,No,6.2,11,4,2,72.5,293,0,9,Promoter,Positive,3,3,4,3,3,3,2,2,3,2,55.0,D,2,3,25.0,2,1,Unsure
U0025,29,Male,Netherlands,Mobile,Basic,Returning,17,Yes,9.9,11,0,0,58.8,199,4,5,Detractor,Negative,4,2,3,3,3,2,4,2,3,2,65.0,C,5,4,58.3,4,1,Unsure
U0026,35,Male,India,Desktop,Enterprise,Returning,13,Yes,7.9,20,1,0,100.0,119,0,10,Promoter,Positive,5,2,3,1,4,2,4,3,4,3,72.5,B,5,6,75.0,4,0,Likely
U0027,22,Female,France,Mobile,Pro,Returning,14,Yes,5.2,13,0,0,82.4,66,18,7,Passive,Neutral,4,2,4,3,5,1,5,3,3,2,75.0,B,5,4,58.3,4,0,Likely
U0028,38,Male,USA,Mobile,Basic,Power User,8,Yes,7.3,18,3,1,81.8,171,2,7,Passive,Neutral,4,2,4,2,4,2,5,1,4,1,82.5,A,7,6,91.7,5,1,Unsure
U0029,28,Prefer not to say,Australia,Mobile,Pro,New,2,Yes,2.5,11,1,2,57.5,295,37,9,Promoter,Positive,3,1,4,3,3,2,2,3,2,3,55.0,D,4,2,33.3,3,1,Unsure
U0030,31,Male,Spain,Mobile,Enterprise,Returning,4,Yes,5.2,17,0,0,54.0,116,10,10,Promoter,Positive,4,2,4,1,5,1,4,1,5,3,85.0,A,5,7,83.3,5,0,Likely
U0031,28,Male,Australia,Mobile,Free,New,54,Yes,8.5,14,1,2,58.0,272,5,9,Promoter,Positive,3,4,3,3,4,2,4,1,4,2,65.0,C,2,3,25.0,4,1,Unsure
U0032,53,Female,UK,Mobile,Enterprise,New,9,Yes,10.1,15,0,0,100.0,129,2,3,Detractor,Negative,5,1,3,2,5,1,4,4,4,3,75.0,B,6,6,83.3,4,0,Likely
U0033,34,Female,France,Desktop,Free,Returning,11,Yes,7.2,5,0,2,68.4,232,18,8,Passive,Neutral,4,2,3,2,4,2,5,2,4,4,70.0,B,2,4,33.3,4,0,Unlikely
U0034,23,Female,UK,Mobile,Pro,Returning,1,Yes,2.9,13,0,1,79.4,246,33,7,Passive,Neutral,2,2,4,3,3,2,3,1,2,3,57.5,D,3,5,50.0,4,0,Unsure
U0035,42,Female,USA,Mobile,Free,Returning,1,Yes,6.1,17,0,2,89.7,168,19,8,Passive,Neutral,5,2,4,3,5,2,5,3,4,2,77.5,B,4,4,50.0,4,0,Unsure
U0036,22,Female,UK,Mobile,Free,Returning,23,No,3.2,13,0,10,99.1,237,8,10,Promoter,Positive,4,2,3,3,2,3,4,2,2,3,55.0,D,5,3,50.0,5,1,Unsure
U0037,36,Male,France,Desktop,Basic,New,14,No,9.5,13,1,5,94.8,194,15,4,Detractor,Negative,4,2,4,3,5,3,4,2,4,3,70.0,B,5,5,66.7,4,0,Unsure
U0038,18,Prefer not to say,India,Desktop,Pro,Returning,13,Yes,6.3,9,1,0,73.0,232,4,9,Promoter,Positive,4,1,5,1,5,2,5,4,4,2,82.5,A,7,4,75.0,4,1,Likely
U0039,21,Prefer not to say,UK,Tablet,Basic,Power User,5,Yes,4.1,10,0,3,51.7,226,90,10,Promoter,Positive,4,3,3,1,3,2,3,1,2,1,67.5,C,6,4,66.7,4,0,Unsure
U0040,36,Female,USA,Mobile,Free,Power User,25,Yes,6.0,12,2,0,100.0,237,28,5,Detractor,Negative,5,2,4,3,3,4,3,1,3,2,65.0,C,3,2,25.0,4,1,Unsure
U0041,41,Male,USA,Tablet,Basic,Returning,3,Yes,6.3,15,1,3,100.0,281,10,10,Promoter,Positive,4,1,5,3,4,3,5,3,4,3,72.5,B,6,5,75.0,4,0,Unsure
U0042,36,Female,USA,Mobile,Enterprise,Returning,4,Yes,10.6,16,3,1,81.6,251,9,10,Promoter,Positive,4,2,5,2,4,4,4,2,4,2,72.5,B,5,7,83.3,3,1,Unsure
U0043,33,Male,UK,Mobile,Basic,Power User,11,Yes,5.3,13,1,1,63.3,164,14,10,Promoter,Positive,4,2,5,2,3,2,3,2,3,2,70.0,B,6,6,83.3,4,1,Unsure
U0044,31,Male,USA,Mobile,Free,New,6,Yes,3.2,14,0,0,91.4,209,7,6,Detractor,Negative,3,3,4,2,5,2,4,2,4,2,72.5,B,3,5,50.0,4,1,Unsure
U0045,19,Male,Canada,Tablet,Basic,Power User,5,No,1.2,12,1,0,74.8,214,1,10,Promoter,Positive,3,3,4,2,4,1,4,2,3,4,65.0,C,3,4,41.7,3,0,Unsure
U0046,27,Female,UK,Mobile,Free,Power User,19,Yes,6.0,8,1,3,71.0,235,10,3,Detractor,Negative,3,3,3,3,3,3,3,2,3,2,55.0,D,6,3,58.3,4,1,Unsure
U0047,29,Female,UK,Mobile,Pro,New,19,Yes,5.5,6,0,4,91.9,362,41,8,Passive,Neutral,3,4,4,3,5,3,4,4,4,3,57.5,D,6,6,83.3,4,1,Unsure
U0048,45,Female,USA,Desktop,Pro,New,31,Yes,2.1,12,0,2,73.5,263,21,10,Promoter,Positive,2,2,4,2,2,2,4,2,2,3,57.5,D,4,1,25.0,3,0,Unsure
U0049,37,Female,Spain,Desktop,Basic,Power User,10,Yes,9.8,13,0,2,62.0,90,1,9,Promoter,Positive,3,1,4,1,3,3,4,3,4,2,70.0,B,5,4,58.3,4,0,Unsure
U0050,18,Male,India,Mobile,Basic,Returning,1,Yes,8.2,10,0,2,72.0,186,37,4,Detractor,Negative,3,1,4,2,4,2,4,2,2,3,67.5,C,5,2,41.7,3,0,Unsure
U0051,37,Male,India,Desktop,Pro,New,6,Yes,6.4,7,1,1,84.9,105,6,10,Promoter,Positive,4,3,3,2,5,2,5,3,3,4,65.0,C,4,4,50.0,3,0,Unsure
U0052,30,Male,USA,Desktop,Basic,Returning,70,Yes,9.2,13,1,0,77.3,217,6,9,Promoter,Positive,4,2,4,2,3,1,4,3,5,3,72.5,B,1,2,8.3,3,0,Unsure
U0053,27,Prefer not to say,France,Desktop,Pro,Returning,16,Yes,9.6,14,0,0,92.1,65,4,4,Detractor,Negative,4,2,5,2,4,3,4,1,4,2,77.5,B,4,5,58.3,4,0,Likely
U0054,40,Male,UK,Desktop,Pro,Returning,22,No,5.0,15,1,1,93.8,154,13,10,Promoter,Positive,4,3,4,2,5,2,4,2,4,2,75.0,B,5,5,66.7,3,1,Unsure
U0055,44,Female,France,Desktop,Pro,Power User,0,No,5.4,20,0,0,83.3,93,8,10,Promoter,Positive,4,1,4,2,4,2,4,2,4,1,80.0,A,6,5,75.0,4,0,Likely
U0056,43,Female,Netherlands,Desktop,Basic,Power User,13,Yes,8.9,6,0,0,81.5,235,11,10,Promoter,Positive,3,2,4,2,4,1,4,3,4,2,72.5,B,6,4,66.7,4,1,Unsure
U0057,26,Male,France,Tablet,Basic,Returning,1,Yes,6.8,9,0,0,23.3,236,26,5,Detractor,Negative,4,2,4,3,3,4,3,3,5,2,62.5,C,3,4,41.7,4,0,Unlikely
U0058,31,Female,Netherlands,Mobile,Enterprise,Returning,15,Yes,7.9,13,0,0,77.7,215,5,5,Detractor,Negative,4,1,3,1,5,3,4,2,4,2,77.5,B,4,5,58.3,4,0,Unsure
U0059,37,Female,India,Desktop,Basic,Returning,46,Yes,4.5,17,0,4,87.6,211,26,10,Promoter,Positive,3,2,3,2,5,3,4,3,4,3,65.0,C,5,3,50.0,3,1,Unlikely
U0060,44,Female,UK,Desktop,Basic,Returning,62,No,7.5,6,0,0,66.6,148,4,8,Passive,Neutral,3,4,4,2,4,3,3,2,3,1,62.5,C,4,4,50.0,3,1,Unsure
U0061,29,Female,Netherlands,Mobile,Free,New,14,No,5.1,19,0,1,73.7,239,23,2,Detractor,Negative,5,2,2,2,2,1,4,3,4,2,67.5,C,4,4,50.0,3,0,Unsure
U0062,32,Male,UK,Desktop,Basic,Power User,11,No,6.4,13,1,2,62.3,333,19,10,Promoter,Positive,4,4,4,3,4,1,4,2,2,2,65.0,C,5,5,66.7,4,1,Likely
U0063,23,Male,Germany,Mobile,Basic,Power User,52,Yes,9.6,11,1,2,85.7,257,23,4,Detractor,Negative,4,2,2,3,3,2,2,2,3,3,55.0,D,3,5,50.0,3,1,Unsure
U0064,22,Female,UK,Mobile,Free,Returning,20,No,5.5,13,0,0,89.5,178,9,9,Promoter,Positive,4,3,4,1,4,2,3,2,4,2,72.5,B,6,3,58.3,2,0,Likely
U0065,42,Female,UK,Mobile,Free,Returning,1,Yes,1.8,10,0,1,81.4,152,23,10,Promoter,Positive,3,2,1,3,3,3,5,3,4,2,57.5,D,1,5,33.3,5,1,Unlikely
U0066,48,Male,USA,Desktop,Basic,New,11,Yes,3.3,14,1,0,47.4,178,2,10,Promoter,Positive,4,4,5,2,4,3,5,3,3,2,67.5,C,3,4,41.7,3,0,Unsure
U0067,33,Female,USA,Mobile,Pro,Returning,5,Yes,8.2,8,2,1,67.2,266,41,10,Promoter,Positive,4,4,4,3,3,2,5,2,2,2,62.5,C,4,3,41.7,3,1,Unsure
U0068,44,Female,USA,Desktop,Basic,Returning,11,No,8.4,15,1,0,82.3,255,1,5,Detractor,Negative,4,1,4,2,5,2,5,1,4,1,87.5,A,6,4,66.7,3,0,Likely
U0069,38,Female,Germany,Tablet,Free,Returning,11,Yes,5.1,9,1,2,63.3,261,4,8,Passive,Neutral,5,2,4,2,3,4,4,2,2,1,67.5,C,3,3,33.3,2,1,Unlikely
U0070,28,Male,UK,Mobile,Pro,Power User,16,Yes,6.1,11,0,2,74.9,246,11,10,Promoter,Positive,5,2,4,3,2,1,4,2,4,1,75.0,B,4,4,50.0,4,0,Unsure
U0071,38,Female,UK,Desktop,Free,Returning,8,Yes,8.1,20,0,1,74.0,254,21,7,Passive,Neutral,3,2,5,1,4,2,4,3,4,3,72.5,B,7,4,75.0,4,0,Unsure
U0072,49,Female,Germany,Desktop,Basic,Returning,3,Yes,4.6,14,2,1,90.0,244,1,9,Promoter,Positive,4,2,4,1,4,2,4,4,3,3,67.5,C,3,5,50.0,4,0,Unsure
U0073,34,Male,USA,Desktop,Free,Power User,13,Yes,7.4,14,0,1,50.6,177,42,10,Promoter,Positive,3,3,4,4,3,3,4,2,5,3,60.0,C,4,3,41.7,4,0,Unsure
U0074,50,Male,India,Mobile,Free,New,32,No,3.2,13,6,5,88.8,265,90,2,Detractor,Negative,3,3,2,4,4,3,4,2,3,3,52.5,D,3,1,16.7,2,1,Unlikely
U0075,18,Prefer not to say,India,Desktop,Free,Returning,20,Yes,3.6,7,1,1,77.1,185,19,9,Promoter,Positive,3,2,4,3,4,2,5,1,3,3,70.0,B,5,4,58.3,2,1,Unsure
U0076,42,Male,Australia,Mobile,Basic,Returning,7,Yes,5.1,18,1,2,76.9,217,11,0,Detractor,Negative,3,4,5,3,4,2,4,2,3,2,65.0,C,4,4,50.0,4,0,Likely
U0077,35,Female,India,Desktop,Free,Returning,49,Yes,5.0,4,0,3,83.9,253,27,2,Detractor,Negative,3,3,4,2,2,3,3,2,4,2,60.0,C,4,4,50.0,3,0,Unsure
U0078,31,Female,USA,Mobile,Basic,Power User,44,Yes,7.2,11,1,1,62.2,302,5,9,Promoter,Positive,4,3,4,3,3,3,5,3,4,2,65.0,C,7,6,91.7,3,0,Unsure
U0079,35,Male,India,Mobile,Basic,Returning,4,Yes,7.5,11,1,1,70.4,131,10,10,Promoter,Positive,4,3,4,2,3,2,4,3,4,1,70.0,B,5,3,50.0,4,0,Unsure
U0080,18,Female,USA,Mobile,Basic,Power User,1,Yes,0.5,15,0,1,82.1,227,32,7,Passive,Neutral,5,1,4,3,4,2,4,2,4,1,80.0,A,5,6,75.0,3,0,Likely
U0081,32,Male,USA,Mobile,Basic,Returning,24,Yes,3.9,12,0,0,90.1,323,64,5,Detractor,Negative,3,2,2,2,5,3,5,4,4,2,65.0,C,2,5,41.7,4,1,Unsure
U0082,38,Female,Canada,Desktop,Pro,Returning,32,Yes,7.5,15,1,0,91.6,219,20,8,Passive,Neutral,3,1,5,3,3,2,3,1,4,3,70.0,B,5,6,75.0,3,0,Likely
U0083,49,Male,USA,Desktop,Free,Power User,62,Yes,11.1,13,1,0,89.5,249,4,8,Passive,Neutral,5,2,4,3,4,2,5,2,5,2,80.0,A,4,6,66.7,4,1,Unsure
U0084,29,Female,Canada,Mobile,Basic,New,40,Yes,3.8,9,0,0,67.7,255,5,8,Passive,Neutral,5,4,2,3,3,2,5,2,3,2,62.5,C,3,2,25.0,4,1,Unsure
U0085,26,Male,Australia,Desktop,Free,New,17,Yes,7.2,8,0,1,85.2,291,6,2,Detractor,Negative,5,2,5,1,4,2,3,3,4,1,80.0,A,6,4,66.7,3,1,Likely
U0086,29,Male,Australia,Desktop,Free,Returning,14,Yes,11.6,16,1,2,100.0,123,6,10,Promoter,Positive,5,2,5,2,4,2,5,1,4,2,85.0,A,4,5,58.3,5,1,Likely
U0087,43,Non-binary,Netherlands,Desktop,Basic,Returning,1,No,2.2,12,1,1,81.4,161,9,9,Promoter,Positive,4,2,3,4,2,1,4,1,4,2,67.5,C,5,2,41.7,4,1,Unlikely
U0088,37,Male,USA,Desktop,Basic,New,5,Yes,7.1,16,1,5,71.9,228,9,7,Passive,Neutral,4,3,3,3,3,2,4,2,4,3,62.5,C,3,3,33.3,4,1,Unsure
U0089,29,Female,USA,Desktop,Pro,Returning,11,Yes,3.4,8,1,7,76.2,117,22,4,Detractor,Negative,2,3,2,1,3,3,4,3,4,2,57.5,D,1,2,8.3,3,0,Unsure
U0090,39,Male,France,Mobile,Basic,Returning,18,Yes,5.5,15,0,5,86.4,287,23,10,Promoter,Positive,4,2,4,1,5,2,2,2,5,3,75.0,B,3,5,50.0,4,0,Unsure
U0091,35,Female,USA,Desktop,Enterprise,Returning,15,Yes,5.5,13,1,2,91.6,269,17,10,Promoter,Positive,5,1,5,2,3,1,5,2,4,1,87.5,A,5,7,83.3,4,0,Likely
U0092,44,Male,France,Mobile,Free,Power User,24,No,4.9,16,0,1,93.6,188,27,10,Promoter,Positive,3,2,4,2,4,3,4,2,5,2,72.5,B,3,3,33.3,4,0,Unsure
U0093,27,Non-binary,India,Desktop,Free,Returning,6,Yes,12.6,14,3,0,85.6,214,1,3,Detractor,Negative,1,2,4,2,2,2,3,3,2,3,50.0,D,5,4,58.3,3,0,Unsure
U0094,31,Male,India,Mobile,Free,Power User,15,Yes,7.5,11,1,2,65.0,242,1,5,Detractor,Negative,2,3,3,3,4,1,3,2,3,4,55.0,D,3,1,16.7,2,1,Unlikely
U0095,30,Male,USA,Desktop,Free,New,2,Yes,8.9,10,0,2,81.9,232,30,7,Passive,Neutral,5,2,4,2,4,2,5,5,5,1,77.5,B,6,3,58.3,2,1,Unlikely
U0096,19,Male,UK,Tablet,Basic,Returning,10,Yes,8.8,17,0,2,79.3,203,9,10,Promoter,Positive,4,1,3,3,4,3,3,2,4,2,67.5,C,5,7,83.3,5,0,Unsure
U0097,37,Male,USA,Tablet,Pro,Power User,25,No,3.0,15,1,8,67.5,241,13,7,Passive,Neutral,4,2,4,2,4,3,4,1,5,1,80.0,A,5,3,50.0,4,1,Unsure
U0098,37,Female,UK,Desktop,Free,Returning,21,Yes,7.6,10,0,1,73.3,206,1,10,Promoter,Positive,4,2,4,3,3,1,3,2,3,2,67.5,C,4,3,41.7,3,0,Unsure
U0099,34,Male,Netherlands,Tablet,Enterprise,Power User,84,Yes,9.5,9,0,1,77.9,268,5,0,Detractor,Negative,3,2,4,3,3,4,4,1,3,2,62.5,C,1,3,16.7,5,1,Unsure
U0100,32,Female,USA,Tablet,Pro,Returning,6,Yes,5.0,12,1,0,58.3,231,14,7,Passive,Neutral,4,2,3,3,5,2,3,2,4,3,67.5,C,4,3,41.7,3,0,Likely
U0101,20,Male,UK,Mobile,Free,New,12,Yes,8.2,15,0,0,82.2,200,41,10,Promoter,Positive,3,2,4,2,2,3,3,2,4,3,60.0,C,4,2,33.3,4,1,Unsure
U0102,30,Male,UK,Mobile,Free,Returning,7,No,7.5,14,2,2,31.0,318,53,8,Passive,Neutral,4,3,4,2,4,4,4,3,5,2,67.5,C,4,2,33.3,3,0,Unlikely
U0103,31,Female,France,Desktop,Free,Returning,10,Yes,10.4,8,0,2,100.0,156,15,9,Promoter,Positive,4,3,4,2,4,2,5,3,4,3,70.0,B,4,2,33.3,4,0,Unsure
U0104,26,Female,France,Mobile,Free,Power User,35,Yes,5.5,9,1,3,97.5,213,14,7,Passive,Neutral,4,4,4,1,4,3,4,2,3,3,65.0,C,1,6,41.7,3,0,Unsure
U0105,32,Male,USA,Desktop,Free,New,21,Yes,3.6,16,0,1,71.1,282,33,8,Passive,Neutral,4,3,4,1,4,2,4,3,3,3,67.5,C,3,6,58.3,3,0,Unsure
U0106,38,Male,UK,Desktop,Basic,Power User,39,Yes,5.4,8,0,5,74.4,182,14,8,Passive,Neutral,4,2,3,1,4,1,3,2,5,2,77.5,B,4,5,58.3,3,1,Unsure
U0107,53,Male,USA,Tablet,Free,Power User,4,Yes,9.9,13,2,2,78.9,243,13,8,Passive,Neutral,5,4,3,1,4,3,3,3,3,2,62.5,C,5,4,58.3,3,0,Unsure
U0108,36,Female,USA,Desktop,Basic,New,37,Yes,1.9,10,1,3,67.4,254,42,0,Detractor,Negative,4,4,3,2,5,3,5,3,4,2,67.5,C,4,5,58.3,4,1,Likely
U0109,37,Female,India,Mobile,Enterprise,Returning,1,Yes,1.2,17,0,0,77.4,172,29,10,Promoter,Positive,3,1,2,3,5,2,3,2,4,3,65.0,C,4,3,41.7,2,0,Unsure
U0110,33,Female,France,Mobile,Pro,Power User,40,Yes,8.8,13,0,1,91.7,165,17,10,Promoter,Positive,3,2,4,1,5,3,5,1,4,2,80.0,A,7,4,75.0,4,0,Likely
U0111,18,Female,USA,Mobile,Enterprise,Power User,7,Yes,5.9,16,1,2,79.3,197,4,8,Passive,Neutral,4,2,5,1,5,1,4,2,4,2,85.0,A,6,6,83.3,4,1,Unsure
U0112,34,Female,UK,Tablet,Free,Returning,7,No,5.8,11,1,0,72.8,203,16,4,Detractor,Negative,3,2,4,1,4,2,3,3,3,3,65.0,C,5,5,66.7,3,0,Unlikely
U0113,35,Female,Brazil,Desktop,Basic,Returning,13,Yes,8.4,12,5,0,53.4,370,37,9,Promoter,Positive,2,4,4,2,3,2,3,3,4,3,55.0,D,3,3,33.3,4,1,Unlikely
U0114,59,Female,USA,Desktop,Basic,Returning,51,Yes,6.5,8,2,3,88.4,140,1,4,Detractor,Negative,5,3,5,1,4,2,4,3,5,4,75.0,B,4,7,75.0,4,1,Likely
U0115,32,Male,India,Desktop,Free,Returning,1,Yes,1.8,5,1,0,77.8,282,28,0,Detractor,Negative,4,2,3,2,3,3,5,3,4,2,67.5,C,3,4,41.7,5,1,Unsure
U0116,37,Male,UK,Desktop,Free,Returning,8,Yes,10.8,10,1,1,70.7,217,4,7,Passive,Neutral,3,4,2,3,4,2,3,3,4,3,52.5,D,3,1,16.7,3,1,Unlikely
U0117,34,Male,USA,Desktop,Pro,Power User,35,Yes,5.7,15,0,0,86.8,115,15,10,Promoter,Positive,5,1,4,3,4,2,5,2,5,3,80.0,A,4,6,66.7,4,0,Unsure
U0118,22,Male,UK,Desktop,Pro,New,9,No,4.1,9,1,2,94.4,219,15,2,Detractor,Negative,3,3,5,1,3,4,3,3,3,3,57.5,D,4,4,50.0,4,1,Unsure
U0119,45,Female,Germany,Mobile,Basic,New,4,Yes,9.2,9,0,3,70.5,261,4,10,Promoter,Positive,4,3,4,4,3,2,4,2,4,3,62.5,C,5,4,58.3,4,0,Unsure
U0120,42,Non-binary,Brazil,Mobile,Basic,Returning,10,Yes,5.4,13,0,1,78.1,278,12,8,Passive,Neutral,3,1,4,3,4,3,3,2,5,2,70.0,B,5,4,58.3,4,1,Unsure
U0121,42,Male,USA,Desktop,Basic,Returning,9,Yes,5.9,13,0,1,90.8,323,22,3,Detractor,Negative,2,2,3,3,4,2,4,2,5,2,67.5,C,3,2,25.0,4,1,Unlikely
U0122,25,Male,UK,Mobile,Free,Returning,44,Yes,7.8,12,0,7,76.1,393,17,8,Passive,Neutral,3,3,3,3,4,3,4,3,5,1,65.0,C,4,4,50.0,4,0,Unsure
U0123,48,Male,UK,Desktop,Free,Returning,26,Yes,8.7,14,0,3,75.0,246,11,9,Promoter,Positive,4,2,4,2,5,3,4,3,5,2,75.0,B,5,3,50.0,3,0,Unsure
U0124,20,Non-binary,USA,Desktop,Free,Returning,13,Yes,6.6,10,0,3,82.7,157,29,9,Promoter,Positive,4,1,5,2,3,3,5,2,3,3,72.5,B,5,5,66.7,4,0,Likely
U0125,40,Male,UK,Mobile,Free,New,80,Yes,9.2,9,2,1,84.4,273,17,2,Detractor,Negative,3,4,3,3,2,3,2,4,4,3,42.5,F,2,4,33.3,4,1,Unlikely
U0126,56,Female,UK,Mobile,Enterprise,Returning,11,Yes,2.9,20,0,0,86.9,163,6,3,Detractor,Negative,4,1,4,3,5,1,5,3,3,1,80.0,A,7,5,83.3,5,0,Likely
U0127,24,Male,Canada,Mobile,Basic,Power User,1,Yes,8.6,13,0,1,96.0,270,1,9,Promoter,Positive,5,3,4,2,4,1,4,2,5,2,80.0,A,5,2,41.7,3,0,Unsure
